no,region,house_type,structure,upper_ins_type,lower_ins_type,upper_u,wall_u,lower_u,base_psi_outside,base_psi_inside,window_u,window_attachment_u,window_eta,window_attachement_eta
津-677,6,戸建,木造,屋根断熱,床断熱,0.2,0.42,0.43,0.53,0.76,2.33,1.99,0.4,0.4
津-001,6,戸建,木造,天井断熱,床断熱,0.38,0.46,0.45,0.53,0.76,2.33,1.99,0.32,0.32
津-002,6,戸建,木造,天井断熱,床断熱,0.38,0.46,0.45,0.53,0.76,2.33,1.99,0.32,0.32
津-008,6,戸建,木造,天井断熱,床断熱,0.38,0.46,0.45,0.53,0.76,2.33,1.99,0.32,0.32
津-019,6,戸建,木造,天井断熱,床断熱,0.38,0.46,0.45,0.53,0.76,2.33,1.99,0.32,0.32
津-043,6,戸建,木造,天井断熱,床断熱,0.38,0.46,0.45,0.53,0.76,2.33,1.99,0.32,0.32
津-119,6,戸建,木造,天井断熱,床断熱,0.38,0.46,0.45,0.53,0.76,2.33,1.99,0.32,0.32
津-195,6,戸建,木造,天井断熱,床断熱,0.38,0.46,0.45,0.53,0.76,2.33,1.99,0.32,0.32
津-774,6,戸建,木造,天井断熱,床断熱,0.38,0.46,0.45,0.53,0.76,2.33,1.99,0.32,0.32
津-009,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-012,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-017,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-025,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,1.9,1.66,0.29,0.29
津-030,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,1.9,1.66,0.29,0.29
津-035,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-053,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-059,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-063,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-085,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-098,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-104,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-114,6,戸建,木造,屋根断熱,基礎断熱,0.26,0.53,-,0.56,0.56,1.9,1.66,0.29,0.29
津-144,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-149,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-150,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-165,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-167,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-214,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-526,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-666,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-696,6,戸建,木造,屋根断熱,基礎断熱,0.23,0.47,-,0.53,0.53,2.15,1.85,0.32,0.32
津-311,6,戸建,木造,屋根断熱,床断熱,0.48,0.52,0.52,0.53,0.76,1.9,1.66,0.29,0.29
津-333,6,戸建,木造,屋根断熱,床断熱,0.48,0.52,0.52,0.53,0.76,1.9,1.66,0.29,0.29
津-350,6,戸建,木造,屋根断熱,床断熱,0.48,0.52,0.52,0.53,0.76,1.9,1.66,0.29,0.29
津-355,6,戸建,木造,屋根断熱,床断熱,0.48,0.52,0.52,0.53,0.76,1.9,1.66,0.29,0.29
津-363,6,戸建,木造,屋根断熱,床断熱,0.48,0.52,0.52,0.53,0.76,1.9,1.66,0.29,0.29
津-372,6,戸建,木造,屋根断熱,床断熱,0.48,0.52,0.52,0.53,0.76,1.9,1.66,0.29,0.29
津-375,6,戸建,木造,屋根断熱,床断熱,0.48,0.52,0.52,0.53,0.76,1.9,1.66,0.29,0.29
津-376,6,戸建,木造,屋根断熱,床断熱,0.48,0.52,0.52,0.53,0.76,1.9,1.66,0.29,0.29
津-432,6,戸建,木造,屋根断熱,床断熱,0.48,0.52,0.52,0.53,0.76,1.9,1.66,0.29,0.29
津-451,6,戸建,木造,屋根断熱,床断熱,0.48,0.52,0.52,0.53,0.76,1.9,1.66,0.29,0.29
津-466,6,戸建,木造,屋根断熱,床断熱,0.48,0.52,0.52,0.53,0.76,1.9,1.66,0.29,0.29
津-471,6,戸建,木造,屋根断熱,床断熱,0.48,0.52,0.52,0.53,0.76,1.9,1.66,0.29,0.29
津-476,6,戸建,木造,屋根断熱,床断熱,0.48,0.52,0.52,0.53,0.76,1.9,1.66,0.29,0.29
津-500,6,戸建,木造,屋根断熱,床断熱,0.48,0.52,0.52,0.53,0.76,1.9,1.66,0.29,0.29
津-784,6,戸建,木造,屋根断熱,床断熱,0.48,0.52,0.52,0.53,0.76,1.9,1.66,0.29,0.29
津-786,6,戸建,木造,屋根断熱,床断熱,0.48,0.52,0.52,0.53,0.76,1.9,1.66,0.29,0.29
津-787,6,戸建,木造,屋根断熱,床断熱,0.48,0.52,0.52,0.53,0.76,1.9,1.66,0.29,0.29
津-510,6,戸建,木造,天井断熱,床断熱,0.18,0.42,0.44,0.53,0.76,2.11,1.82,0.36,0.36
津-511,6,戸建,木造,天井断熱,床断熱,0.18,0.42,0.44,0.53,0.76,2.11,1.82,0.36,0.36
津-557,6,戸建,木造,天井断熱,床断熱,0.18,0.42,0.44,0.53,0.76,2.11,1.82,0.36,0.36
津-558,6,戸建,木造,天井断熱,床断熱,0.18,0.42,0.44,0.53,0.76,2.11,1.82,0.36,0.36
津-559,6,戸建,木造,天井断熱,床断熱,0.18,0.42,0.44,0.53,0.76,2.11,1.82,0.36,0.36
津-560,6,戸建,木造,天井断熱,床断熱,0.18,0.42,0.44,0.53,0.76,2.11,1.82,0.36,0.36
津-642,6,戸建,木造,天井断熱,床断熱,0.18,0.42,0.44,0.53,0.76,2.11,1.82,0.36,0.36
津-643,6,戸建,木造,天井断熱,床断熱,0.18,0.42,0.44,0.53,0.76,2.11,1.82,0.36,0.36
津-644,6,戸建,木造,天井断熱,床断熱,0.18,0.42,0.44,0.53,0.76,2.11,1.82,0.36,0.36
津-645,6,戸建,木造,天井断熱,床断熱,0.18,0.42,0.44,0.53,0.76,2.11,1.82,0.36,0.36
津-646,6,戸建,木造,天井断熱,床断熱,0.18,0.42,0.44,0.53,0.76,2.11,1.82,0.36,0.36
津-667,6,戸建,木造,天井断熱,床断熱,0.18,0.42,0.44,0.53,0.76,2.11,1.82,0.36,0.36
津-668,6,戸建,木造,天井断熱,床断熱,0.18,0.42,0.44,0.53,0.76,2.11,1.82,0.36,0.36
津-704,6,戸建,木造,天井断熱,床断熱,0.18,0.42,0.44,0.53,0.76,2.11,1.82,0.36,0.36
津-705,6,戸建,木造,天井断熱,床断熱,0.18,0.42,0.44,0.53,0.76,2.11,1.82,0.36,0.36
津-706,6,戸建,木造,天井断熱,床断熱,0.18,0.42,0.44,0.53,0.76,2.11,1.82,0.36,0.36
津-504,6,戸建,木造,屋根断熱,床断熱,0.51,0.55,0.46,0.53,0.76,2.33,1.99,0.32,0.32
津-516,6,戸建,木造,屋根断熱,床断熱,0.22,0.43,0.46,0.53,0.76,2.33,1.99,0.32,0.32
津-525,6,戸建,木造,屋根断熱,床断熱,0.51,0.55,0.46,0.53,0.76,2.33,1.99,0.32,0.32
津-527,6,戸建,木造,屋根断熱,床断熱,0.51,0.55,0.46,0.53,0.76,2.33,1.99,0.32,0.32
津-537,6,戸建,木造,屋根断熱,床断熱,0.51,0.55,0.46,0.53,0.76,2.33,1.99,0.32,0.32
津-540,6,戸建,木造,屋根断熱,床断熱,0.51,0.55,0.46,0.53,0.76,2.33,1.99,0.32,0.32
津-545,6,戸建,木造,屋根断熱,床断熱,0.51,0.55,0.46,0.53,0.76,2.33,1.99,0.32,0.32
津-582,6,戸建,木造,屋根断熱,床断熱,0.51,0.55,0.46,0.53,0.76,2.33,1.99,0.32,0.32
津-584,6,戸建,木造,屋根断熱,床断熱,0.51,0.55,0.46,0.53,0.76,2.33,1.99,0.32,0.32
津-597,6,戸建,木造,屋根断熱,床断熱,0.51,0.55,0.46,0.53,0.76,2.33,1.99,0.32,0.32
津-651,6,戸建,木造,屋根断熱,床断熱,0.51,0.55,0.46,0.53,0.76,2.33,1.99,0.32,0.32
津-682,6,戸建,木造,屋根断熱,床断熱,0.22,0.43,0.46,0.53,0.76,2.33,1.99,0.32,0.32
津-707,6,戸建,木造,屋根断熱,床断熱,0.51,0.55,0.46,0.53,0.76,2.33,1.99,0.32,0.32
津-709,6,戸建,木造,屋根断熱,床断熱,0.51,0.55,0.46,0.53,0.76,2.33,1.99,0.32,0.32
津-711,6,戸建,木造,屋根断熱,床断熱,0.51,0.55,0.46,0.53,0.76,2.33,1.99,0.32,0.32
津-521,6,戸建,木造,天井断熱,床断熱,0.49,0.57,1.02,0.53,0.76,4.65,3.59,0.63,0.3
津-572,6,戸建,木造,天井断熱,床断熱,0.49,0.57,1.02,0.53,0.76,4.65,3.59,0.63,0.3
津-592,6,戸建,木造,桁上・桁間,基礎断熱,0.29,0.34,-,0.31,0.31,2.91,2.41,0.29,0.19
津-618,6,戸建,木造,桁上・桁間,基礎断熱,0.29,0.34,-,0.31,0.31,2.91,2.41,0.29,0.19
津-647,6,戸建,木造,屋根断熱,床断熱,0.52,0.68,0.51,0.53,0.76,2.91,2.41,0.29,0.19
津-648,6,戸建,木造,天井断熱,床断熱,0.49,0.57,1.02,0.53,0.76,4.65,3.59,0.63,0.3
津-657,6,戸建,木造,桁上・桁間,床断熱,0.29,0.44,0.58,0.53,0.76,1.7,1.5,0.27,0.18
津-661,6,戸建,木造,桁上・桁間,床断熱,0.29,0.44,0.58,0.53,0.76,1.7,1.5,0.27,0.18
津-674,6,戸建,木造,桁上・桁間,基礎断熱,0.29,0.34,-,0.31,0.31,2.91,2.41,0.29,0.19
津-675,6,戸建,木造,桁上・桁間,床断熱,0.29,0.44,0.58,0.53,0.76,2.91,2.41,0.29,0.19
津-683,6,戸建,木造,桁上・桁間,床断熱,0.29,0.44,0.58,0.53,0.76,1.7,1.5,0.27,0.18
津-688,6,戸建,木造,屋根断熱,床断熱,0.43,0.44,0.51,0.53,0.76,4.65,3.59,0.63,0.3
津-256,6,戸建,木造,屋根断熱,基礎断熱,0.21,0.58,-,0.56,0.56,4.07,3.21,0.32,0.21
津-544,6,戸建,木造,屋根断熱,基礎断熱,0.29,0.58,-,0.56,0.56,1.3,1.18,0.6,0.6
津-099,6,戸建,木造,天井断熱,床断熱,0.24,0.55,0.49,0.53,0.76,2.33,1.99,0.32,0.21
津-136,6,戸建,木造,天井断熱,床断熱,0.24,0.55,0.49,0.53,0.76,2.33,1.99,0.32,0.21
津-553,6,戸建,木造,天井断熱,床断熱,0.35,0.44,0.49,0.53,0.76,2.33,1.99,0.32,0.21
津-579,6,戸建,木造,天井断熱,床断熱,0.35,0.44,0.49,0.53,0.76,2.33,1.99,0.32,0.21
津-658,6,戸建,木造,天井断熱,床断熱,0.35,0.44,0.49,0.53,0.76,2.33,1.99,0.32,0.21
津-681,6,戸建,木造,天井断熱,床断熱,0.35,0.44,0.49,0.53,0.76,2.33,1.99,0.32,0.21
津-899,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.47,0.53,0.76,2.33,1.99,0.4,0.4
津-900,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.47,0.53,0.76,2.33,1.99,0.4,0.4
津-901,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.47,0.53,0.76,2.33,1.99,0.4,0.4
津-902,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.47,0.53,0.76,2.33,1.99,0.4,0.4
津-903,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.47,0.53,0.76,2.33,1.99,0.4,0.4
津-536,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.78,0.53,0.76,4.65,3.59,0.63,0.3
津-587,6,戸建,木造,屋根断熱,床断熱,0.49,0.53,0.4,0.53,0.76,2.33,1.99,0.32,0.21
津-629,6,戸建,木造,屋根断熱,床断熱,0.37,0.53,0.4,0.53,0.76,2.33,1.99,0.29,0.19
津-821,6,戸建,木造,天井断熱,床断熱,0.43,0.53,0.65,0.53,0.76,6.51,4.75,0.7,0.3
津-822,6,戸建,木造,天井断熱,床断熱,0.43,0.53,0.65,0.53,0.76,6.51,4.75,0.7,0.3
津-858,6,戸建,木造,天井断熱,床断熱,0.43,0.53,0.65,0.53,0.76,6.51,4.75,0.7,0.3
津-868,6,戸建,木造,天井断熱,床断熱,0.43,0.53,0.65,0.53,0.76,6.51,4.75,0.7,0.3
津-869,6,戸建,木造,天井断熱,床断熱,0.43,0.53,0.65,0.53,0.76,6.51,4.75,0.7,0.3
津-148,6,戸建,木造,天井断熱,床断熱,0.38,0.48,0.7,0.53,0.76,4.07,3.21,0.32,0.21
津-212,6,戸建,木造,天井断熱,床断熱,0.41,0.58,0.52,0.53,0.76,4.07,3.21,0.32,0.21
津-297,6,戸建,木造,屋根断熱,床断熱,0.26,0.46,0.41,0.53,0.76,4.07,3.21,0.63,0.3
津-305,6,戸建,木造,屋根断熱,床断熱,0.26,0.46,0.67,0.53,0.76,4.07,3.21,0.63,0.3
津-765,6,戸建,木造,屋根断熱,床断熱,0.26,0.46,0.67,0.53,0.76,4.07,3.21,0.63,0.3
津-547,6,戸建,木造,天井断熱,基礎断熱,0.33,0.35,-,0.52,0.52,4.07,3.21,0.63,0.3
津-694,6,戸建,木造,天井断熱,基礎断熱,0.33,0.35,-,0.52,0.52,4.07,3.21,0.63,0.3
津-221,6,戸建,木造,天井断熱,床断熱,0.3,0.69,0.46,0.53,0.76,2.33,1.99,0.4,0.4
津-258,6,戸建,木造,天井断熱,床断熱,0.3,0.69,0.46,0.53,0.76,2.33,1.99,0.4,0.4
津-121,6,戸建,木造,屋根断熱,基礎断熱,0.49,0.5,-,0.6,0.6,1.31,1.19,0.61,0.61
津-687,6,戸建,木造,天井断熱,床断熱,0.35,0.44,0.77,0.53,0.76,4.07,3.21,0.63,0.3
津-565,6,戸建,木造,屋根断熱,基礎断熱,0.26,0.52,-,0.58,0.58,1.9,1.66,0.4,0.4
津-603,6,戸建,木造,天井断熱,床断熱,0.45,0.52,0.74,0.53,0.76,4.07,3.21,0.32,0.21
津-690,6,戸建,木造,天井断熱,床断熱,0.45,0.52,0.74,0.53,0.76,4.07,3.21,0.32,0.21
津-796,6,戸建,木造,天井断熱,床断熱,0.35,0.56,0.77,0.53,0.76,4.07,3.21,0.63,0.3
津-865,6,戸建,木造,天井断熱,床断熱,0.28,0.44,0.44,0.53,0.76,2.33,1.99,0.32,0.21
津-128,6,戸建,木造,屋根断熱,床断熱,0.39,0.4,0.59,0.53,0.76,2.76,2.3,0.58,0.29
津-080,6,戸建,木造,屋根断熱,床断熱,0.21,0.45,0.44,0.53,0.76,2.33,1.99,0.4,0.4
津-277,6,戸建,木造,天井断熱,床断熱,0.35,0.44,0.52,0.53,0.76,3.04,2.5,0.63,0.63
津-151,6,戸建,木造,天井断熱,床断熱,0.35,0.39,0.67,0.53,0.76,3.49,2.82,0.63,0.3
津-049,6,戸建,木造,天井断熱,床断熱,0.81,0.52,0.76,0.53,0.76,6.51,4.75,0.7,0.3
津-010,6,戸建,木造,屋根断熱,床断熱,0.83,0.5,1.02,0.53,0.76,4.65,3.59,0.63,0.3
津-727,6,戸建,木造,天井断熱,床断熱,0.41,0.45,2.22,0.53,0.76,6.51,4.75,0.7,0.3
津-210,6,戸建,木造,屋根断熱,床断熱,0.5,0.52,0.64,0.53,0.76,4.65,3.59,0.63,0.3
津-635,6,戸建,木造,屋根断熱,床断熱,0.55,0.45,0.54,0.53,0.76,4.65,3.59,0.63,0.3
津-302,6,戸建,木造,屋根断熱,床断熱,0.17,0.38,0.6,0.53,0.76,3.49,2.82,0.51,0.3
津-051,6,戸建,木造,屋根断熱,床断熱,0.29,0.52,0.46,0.53,0.76,3.49,2.82,0.63,0.3
津-685,6,戸建,木造,天井断熱,床断熱,0.24,0.42,0.46,0.53,0.76,2.33,1.99,0.29,0.19
津-613,6,戸建,木造,天井断熱,床断熱,0.12,0.38,0.39,0.53,0.76,1.9,1.66,0.29,0.19
津-127,6,戸建,木造,桁上・桁間,床断熱,0.46,0.49,0.71,0.53,0.76,4.65,3.59,0.63,0.3
津-319,6,戸建,木造,屋根断熱,床断熱,0.33,0.34,0.92,0.53,0.76,4.07,3.21,0.63,0.3
津-775,6,戸建,木造,屋根断熱,床断熱,0.52,0.49,0.59,0.53,0.76,3.49,2.82,0.51,0.3
津-141,6,戸建,木造,天井断熱,床断熱,0.35,0.5,0.94,0.53,0.76,4.65,3.59,0.63,0.3
津-139,6,戸建,木造,天井断熱,床断熱,0.74,0.49,0.94,0.53,0.76,4.65,3.59,0.63,0.3
津-003,6,戸建,木造,屋根断熱,床断熱,0.29,0.52,0.55,0.53,0.76,3.49,2.82,0.63,0.3
津-588,6,戸建,木造,天井断熱,床断熱,0.45,0.52,0.46,0.53,0.76,4.65,3.59,0.63,0.3
津-550,6,戸建,木造,天井断熱,床断熱,0.23,0.44,0.52,0.53,0.76,4.65,3.59,0.63,0.3
津-548,6,戸建,木造,天井断熱,床断熱,0.49,0.57,0.77,0.37,0.53,4.07,3.21,0.63,0.3
津-303,6,戸建,木造,桁上・桁間,床断熱,0.34,0.4,0.46,0.53,0.76,3.49,2.82,0.32,0.21
津-634,6,戸建,木造,天井断熱,床断熱,0.45,0.64,0.71,0.53,0.76,4.65,3.59,0.63,0.3
津-168,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.64,0.53,0.76,4.65,3.59,0.63,0.3
津-803,6,戸建,木造,天井断熱,床断熱,0.37,0.46,0.41,0.53,0.76,4.07,3.21,0.51,0.3
鳥-117,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-121,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-133,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-137,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-161,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-162,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-163,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-164,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-205,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-211,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-212,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-225,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-235,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-248,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-254,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-261,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-263,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-268,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-293,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-322,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-354,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-355,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-370,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-379,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-428,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-431,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-453,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-463,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-473,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-500,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-514,6,戸建,木造,天井断熱,床断熱,0.33,0.37,0.47,0.53,0.76,2.33,1.99,0.32,0.21
鳥-188,6,戸建,木造,桁上・桁間,床断熱,0.17,0.24,0.28,0.53,0.76,0.6,0.57,0.31,0.31
鳥-250,6,戸建,木造,桁上・桁間,床断熱,0.2,0.34,0.36,0.53,0.76,0.6,0.57,0.31,0.31
鳥-504,6,戸建,木造,桁上・桁間,床断熱,0.2,0.34,0.36,0.53,0.76,0.6,0.57,0.31,0.31
鳥-505,6,戸建,木造,桁上・桁間,床断熱,0.2,0.34,0.36,0.53,0.76,1.29,1.17,0.4,0.4
鳥-103,6,戸建,木造,天井断熱,床断熱,0.35,0.48,0.76,0.53,0.76,1.6,1.42,0.24,0.24
鳥-024,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.9,0.53,0.76,4.07,3.21,0.51,0.3
鳥-025,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.9,0.53,0.76,4.07,3.21,0.51,0.3
鳥-291,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.9,0.53,0.76,4.65,3.59,0.63,0.3
鳥-297,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.9,0.53,0.76,4.65,3.59,0.63,0.3
鳥-298,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.9,0.53,0.76,4.07,3.21,0.51,0.3
鳥-302,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.9,0.53,0.76,4.65,3.59,0.63,0.3
鳥-312,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.9,0.53,0.76,4.07,3.21,0.51,0.3
鳥-325,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.9,0.53,0.76,4.65,3.59,0.63,0.3
鳥-326,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.9,0.53,0.76,4.65,3.59,0.63,0.3
鳥-330,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.9,0.53,0.76,4.65,3.59,0.63,0.3
鳥-359,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.46,0.53,0.76,3.49,2.82,0.32,0.21
鳥-507,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.46,0.53,0.76,4.07,3.21,0.32,0.21
鳥-182,6,戸建,木造,屋根断熱,床断熱,0.4,0.53,0.45,0.53,0.76,2.33,1.99,0.32,0.21
鳥-218,6,戸建,木造,屋根断熱,床断熱,0.4,0.53,0.45,0.53,0.76,2.33,1.99,0.32,0.21
鳥-306,6,戸建,木造,屋根断熱,床断熱,0.4,0.53,0.92,0.53,0.76,4.07,3.21,0.63,0.3
鳥-449,6,戸建,木造,天井断熱,床断熱,0.45,0.52,0.92,0.53,0.76,4.07,3.21,0.63,0.3
鳥-460,6,戸建,木造,屋根断熱,床断熱,0.4,0.53,0.46,0.53,0.76,2.33,1.99,0.32,0.21
鳥-527,6,戸建,木造,屋根断熱,床断熱,0.4,0.53,0.92,0.53,0.76,3.49,2.82,0.63,0.3
鳥-534,6,戸建,木造,屋根断熱,床断熱,0.4,0.53,0.92,0.53,0.76,3.49,2.82,0.63,0.3
鳥-227,6,戸建,木造,天井断熱,床断熱,0.21,0.38,0.48,0.53,0.76,2.33,1.99,0.51,0.51
鳥-283,6,戸建,木造,天井断熱,床断熱,0.23,0.42,0.39,0.53,0.76,2.15,1.85,0.32,0.21
鳥-323,6,戸建,木造,天井断熱,床断熱,0.23,0.42,0.38,0.53,0.76,2.33,1.99,0.51,0.51
鳥-052,6,戸建,木造,天井断熱,床断熱,0.41,0.45,0.46,0.53,0.76,2.33,1.99,0.32,0.21
鳥-107,6,戸建,木造,天井断熱,床断熱,0.41,0.45,0.46,0.53,0.76,2.15,1.85,0.32,0.21
鳥-150,6,戸建,木造,天井断熱,床断熱,0.41,0.45,0.46,0.53,0.76,2.33,1.99,0.32,0.21
鳥-215,6,戸建,木造,天井断熱,床断熱,0.41,0.45,0.46,0.53,0.76,2.15,1.85,0.32,0.21
鳥-253,6,戸建,木造,天井断熱,床断熱,0.41,0.45,0.46,0.53,0.76,2.33,1.99,0.32,0.21
鳥-201,6,戸建,木造,天井断熱,床断熱,0.26,0.42,0.55,0.53,0.76,2.33,1.99,0.32,0.21
鳥-506,6,戸建,木造,天井断熱,床断熱,0.45,0.52,0.77,0.53,0.76,2.33,1.99,0.51,0.3
鳥-530,6,戸建,木造,天井断熱,床断熱,0.26,0.42,0.55,0.53,0.76,2.33,1.99,0.32,0.21
鳥-442,6,戸建,木造,天井断熱,床断熱,1.88,1.58,1.1,0.53,0.76,2.33,1.99,0.4,0.4
鳥-331,6,戸建,木造,屋根断熱,床断熱,0.45,0.58,0.52,0.53,0.76,3.49,2.82,0.63,0.3
鳥-544,6,戸建,木造,天井断熱,床断熱,0.45,0.52,0.76,0.53,0.76,1.9,1.66,0.29,0.19
鳥-221,6,戸建,木造,屋根断熱,床断熱,0.22,0.49,0.46,0.53,0.76,3.49,2.82,0.63,0.3
鳥-388,6,戸建,木造,天井断熱,床断熱,0.18,0.49,0.46,0.53,0.76,3.49,2.82,0.63,0.3
鳥-447,6,戸建,木造,天井断熱,床断熱,0.14,0.49,0.46,0.53,0.76,3.49,2.82,0.63,0.3
鳥-478,6,戸建,木造,天井断熱,床断熱,0.18,0.49,0.46,0.53,0.76,3.49,2.82,0.63,0.3
